Self-Reported Gross Floor Area (ft²),,,,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Water Use Intensity (All Water Sources) (gal/ft²),log_Water Use Intensity (All Water Sources) (gal/ft²),score
2577575,,,,242.3,244.6,17.49,2.861629289,77
2025102,,,,231.6,234.2,22.14,3.097385927,77
306718,,,,224.9,224.9,17.51,2.862772146,67
615942,,,,309,311.2,13.2,2.58021683,87
104289,,,,112.3,117.7,55.85,4.022669526,81
66261,,,,128.5,134.7,65.42,4.180828022,61
1226800,,,,177.9,177.9,4.88,1.58514522,78
62604,,,,175.1,180.7,54.26,3.993787307,70
99258,,,,49.2,50,54.96,4.006605648,100
80860,,,,236.1,239.4,50.75,3.926911618,21
45532,,,,211.4,218.9,109.81,4.6987516,4
71400,,,,116.9,119.9,70.84,4.260423813,51
97620,,,,81.7,85.5,52.36,3.958142941,90
84000,,,,85.9,88.8,34.17,3.531348066,83
71118,,,,128.1,133.7,74.41,4.309590341,44
84375,,,,102.6,108.8,51.9,3.94931879,65
62169,,,,109.5,112.6,54.36,3.995628589,78
52127,,,,153.6,156.9,79.68,4.378018613,29
50411,,,,117.7,121.5,111.92,4.71778433,68
161560,,,,115.3,118.5,84.72,4.439351701,62
59670,,,,82.1,85.4,32.33,3.475995592,94
67915,,,,99.9,103,6.19,1.822935087,85
156467,,,,91,93.6,56.62,4.03636228,92
796488,,,,135.8,141.6,16.78,2.820187701,78
661000,,,,296.3,298.5,6.64,1.893111963,26
185000,,,,226.1,227.5,53.37,3.97724879,41
25500,,,,118.6,119,99.6,4.601162165,78
91997,,,,143.8,150.8,83.99,4.430697744,32
60060,,,,123.1,127.5,103.72,4.641694961,60
123573,,,,135.5,142,74.9,4.316153891,33
50058,,,,124,130.5,67.13,4.206631038,75
41200,,,,117.9,124.4,77.99,4.356580613,76
27439,,,,116.5,122.6,74.97,4.317088034,69
99258,,,,49.2,50,54.96,4.006605648,100
80860,,,,236.1,239.4,50.75,3.926911618,21
38670,,,,116.4,122.1,59.84,4.091674334,87
58569,,,,104,103.7,90.47,4.505018304,78
65048,,,,143,149.4,63.76,4.155126034,25
45744,,,,132.8,138.2,151.89,5.023156575,41
